Dataset,Main_Model,Baseline_Model,Metric,N_Folds_Main,N_Folds_Baseline,Main_Model_Mean_Score,Baseline_Mean_Score,Mean_Difference,Median_Difference,Wilcoxon_Statistic,Wilcoxon_P_Value_2sided,CI_Median_Diff_Low,CI_Median_Diff_High,Note,Holm_Corrected_P_Value,Statistically_Significant_Holm
WDBC-Both,PinFSSVM,MILP1,AUC,10,10,0.8678,0.8564,0.0114,0.0034,8.0000,0.3750,-0.0056,0.0267,,1.0000,False
WDBC-Both,PinFSSVM,PinballSVM,AUC,10,10,0.8678,0.8602,0.0075,0.0000,3.0000,0.3125,0.0000,0.0219,,1.0000,False
WDBC-Both,PinFSSVM,RFESVM,AUC,10,10,0.8678,0.8605,0.0072,0.0044,8.0000,0.3750,-0.0027,0.0294,,1.0000,False
WDBC-Noise,PinFSSVM,FisherSVM,AUC,10,10,0.9015,0.8842,0.0173,0.0188,9.0000,0.1289,-0.0099,0.0412,,1.0000,False
WDBC-Noise,PinFSSVM,L1SVM,AUC,10,10,0.9015,0.8866,0.0149,0.0253,13.0000,0.1602,-0.0206,0.0412,,1.0000,False
WDBC-Noise,PinFSSVM,L2SVM,AUC,10,10,0.9015,0.8891,0.0124,0.0169,17.0000,0.3223,-0.0206,0.0385,,1.0000,False
WDBC-Noise,PinFSSVM,MILP1,AUC,10,10,0.9015,0.8866,0.0149,0.0253,13.0000,0.1602,-0.0206,0.0412,,1.0000,False
WDBC-Noise,PinFSSVM,PinballSVM,AUC,10,10,0.9015,0.8945,0.0071,0.0000,0.0000,0.5000,0.0000,0.0096,,1.0000,False
WDBC-Noise,PinFSSVM,RFESVM,AUC,10,10,0.9015,0.8866,0.0149,0.0253,13.0000,0.1602,-0.0206,0.0412,,1.0000,False
WDBC-Original,PinFSSVM,FisherSVM,AUC,10,10,0.9731,0.9697,0.0033,0.0068,12.0000,0.7812,-0.0125,0.0161,,1.0000,False
WDBC-Original,PinFSSVM,L1SVM,AUC,10,10,0.9731,0.9729,0.0001,0.0000,6.0000,0.7500,-0.0062,0.0135,,1.0000,False
WDBC-Original,PinFSSVM,L2SVM,AUC,10,10,0.9731,0.9743,-0.0012,0.0000,5.0000,1.0000,-0.0062,0.0068,,1.0000,False
WDBC-Original,PinFSSVM,MILP1,AUC,10,10,0.9731,0.9697,0.0033,0.0068,12.0000,0.7812,-0.0125,0.0161,,1.0000,False
WDBC-Original,PinFSSVM,PinballSVM,AUC,10,10,0.9731,0.9694,0.0036,0.0000,5.0000,0.6250,0.0000,0.0142,,1.0000,False
WDBC-Original,PinFSSVM,RFESVM,AUC,10,10,0.9731,0.9729,0.0001,0.0000,6.0000,0.7500,-0.0062,0.0135,,1.0000,False
WDBC-Outlier,PinFSSVM,FisherSVM,AUC,10,10,0.9315,0.9228,0.0087,0.0061,6.5000,0.2344,-0.0061,0.0280,,1.0000,False
WDBC-Outlier,PinFSSVM,L1SVM,AUC,10,10,0.9315,0.9266,0.0049,0.0000,5.0000,0.3125,-0.0061,0.0139,,1.0000,False
WDBC-Outlier,PinFSSVM,L2SVM,AUC,10,10,0.9315,0.9231,0.0084,0.0000,2.0000,0.1875,0.0000,0.0198,,1.0000,False
WDBC-Outlier,PinFSSVM,MILP1,AUC,10,10,0.9315,0.9242,0.0073,0.0000,3.0000,0.1562,-0.0061,0.0205,,1.0000,False
WDBC-Outlier,PinFSSVM,PinballSVM,AUC,10,10,0.9315,0.9326,-0.0011,0.0000,4.0000,0.8750,-0.0069,0.0066,,1.0000,False
WDBC-Outlier,PinFSSVM,RFESVM,AUC,10,10,0.9315,0.9266,0.0049,0.0000,5.0000,0.3125,-0.0061,0.0139,,1.0000,False
