Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,B,tau,n_features
MILP1,Outlier,0.6976190476190476,0.7029124347874349,0.20548563003540038,10.0,"1, 4, 12, 21, 27, 29, 39, 49, 52, 59",10,0.125,10.0,,
MILP1,Noise + Outlier,0.6773809523809524,0.6843539793539792,0.1330648899078369,18.0,"1, 5, 12, 19, 21, 23, 28, 30, 34, 39, 44, 49, 51, 52, 53, 54, 59, 60",18,0.125,18.0,,
PinFSSVM,Not noise,0.7738095238095238,0.7802317127317128,0.2696319341659546,8.0,"4, 9, 12, 20, 26, 29, 47, 49",8,0.25,8.0,0.5,
PinFSSVM,Noise,0.7592857142857142,0.7664506327006327,0.6428737163543701,5.0,"12, 21, 44, 49, 60",5,2.0,5.0,0.5,
PinFSSVM,Outlier,0.7311904761904761,0.726354686979687,0.197609806060791,2.0,"12, 49",2,0.125,2.0,0.1,
PinFSSVM,Noise + Outlier,0.7066666666666667,0.7142854367854368,0.4125171422958374,7.0,"1, 12, 19, 28, 49, 51, 59",7,4.0,7.0,0.1,
PinballSVM,Not noise,0.754047619047619,0.7570980408480408,0.08743135929107666,60.0,"1, 4, 5, 9, 10, 11, 12, 20, 21, 26, 27, 29, 39, 44, 47, 49, 52, 53, 54, 58",20,0.25,,0.5,
PinballSVM,Noise,0.7154761904761905,0.7326232101232102,0.0890052080154419,60.0,"1, 4, 5, 9, 12, 19, 20, 21, 22, 23, 27, 28, 29, 33, 39, 43, 44, 46, 49, 52, 53, 60",22,16.0,,0.1,
PinballSVM,Outlier,0.7064285714285714,0.712810175935176,0.09446372985839843,60.0,"1, 4, 5, 7, 9, 12, 21, 27, 28, 29, 39, 41, 47, 49, 51, 52, 53, 54, 58, 59",20,0.125,,0.5,
PinballSVM,Noise + Outlier,0.6630952380952381,0.6733655233655234,0.09240670204162597,60.0,"1, 4, 5, 12, 19, 21, 22, 23, 26, 28, 30, 34, 39, 44, 49, 51, 52, 58, 59, 60",20,4.0,,0.1,
FisherSVM,Not noise,0.7454761904761905,0.749298063048063,0.3592348337173462,9.9,"1, 11, 12, 47, 49, 51, 52",7,0.125,,,
FisherSVM,Noise,0.710952380952381,0.7244605394605396,0.3589948177337646,12.7,"9, 12, 20, 21, 22, 43, 44, 46",8,4.0,,,
FisherSVM,Outlier,0.7073809523809523,0.699567932067932,0.3653351068496704,11.5,"1, 5, 9, 12, 21, 39, 44, 47, 49, 52, 53",11,32.0,,,
FisherSVM,Noise + Outlier,0.6876190476190477,0.6863868076368076,0.35387206077575684,9.3,"1, 2, 9, 12, 39, 43, 44, 47, 48",9,0.25,,,
RFESVM,Not noise,0.759047619047619,0.7596496558996558,0.04261229038238525,15.5,"1, 4, 5, 11, 12, 21, 22, 23, 27, 28, 29, 44, 45, 47, 48, 49, 51, 52, 54",19,0.125,,,60.0
RFESVM,Noise,0.7059523809523809,0.7187391774891775,0.04498569965362549,19.9,"1, 3, 4, 5, 9, 10, 11, 12, 20, 21, 22, 23, 28, 29, 41, 43, 44, 46, 48, 49, 51, 53",22,1.0,,,60.0
RFESVM,Outlier,0.7023809523809523,0.7019768426018426,0.04259743690490723,13.1,"1, 5, 9, 12, 21, 28, 29, 47, 49, 52, 54, 59",12,0.125,,,60.0
RFESVM,Noise + Outlier,0.6633333333333333,0.6726128038628039,0.03987228870391846,17.1,"1, 5, 12, 19, 21, 22, 23, 28, 30, 34, 39, 43, 44, 49, 51, 52, 59",17,1.0,,,60.0
